games,summer,team,gold,silver,bronze,total,games_city,games_year,games_country,team_match,population,gdp_pc,home_team_match,home_team
Athens 2004,1.0,Islamic Republic of Iran,2,2,2,6,Athens ,2004,Greece,Iran (Islamic Republic of),69321.0,12404.32,Greece,0
Beijing 2008,1.0,Islamic Republic of Iran,1,0,1,2,Beijing ,2008,China,Iran (Islamic Republic of),72508.0,15739.98,China,0
London 2012,1.0,Islamic Republic of Iran,6,6,1,13,London ,2012,United Kingdom,Iran (Islamic Republic of),75945.0,16745.0,United Kingdom,0
Rio 2016,1.0,Islamic Republic of Iran,3,1,4,8,Rio ,2016,Brazil,Iran (Islamic Republic of),79991.0,16783.0,Brazil,0
Tokyo 2020,1.0,Islamic Republic of Iran,3,2,2,7,Tokyo ,2020,Japan,Iran (Islamic Republic of),,,Japan,0
London 1948,1.0,Puerto Rico,0,0,1,1,London ,1948,United Kingdom,Puerto Rico,2187.0,,United Kingdom,0
Montreal 1976,1.0,Puerto Rico,0,0,1,1,Montreal ,1976,Canada,Puerto Rico,3026.0,11308.0,Canada,0
Los Angeles 1984,1.0,Puerto Rico,0,1,1,2,Los Angeles ,1984,United States,Puerto Rico,3350.0,13201.0,United States,0
Barcelona 1992,1.0,Puerto Rico,0,0,1,1,Barcelona ,1992,Spain,Puerto Rico,3585.0,18290.73,Spain,0
Atlanta 1996,1.0,Puerto Rico,0,0,1,1,Atlanta ,1996,United States,Puerto Rico,3725.0,21856.02,United States,0
London 2012,1.0,Puerto Rico,0,1,1,2,London ,2012,United Kingdom,Puerto Rico,3636.0,34395.0,United Kingdom,0
Rio 2016,1.0,Puerto Rico,1,0,0,1,Rio ,2016,Brazil,Puerto Rico,3411.0,35082.0,Brazil,0
Tokyo 2020,1.0,Puerto Rico,1,0,0,1,Tokyo ,2020,Japan,Puerto Rico,,,Japan,0
Helsinki 1952,1.0,Soviet Union,22,30,19,71,Helsinki ,1952,Finland,Former USSR,185856.0,4682.0,Finland,0
Melbourne 1956,1.0,Soviet Union,37,29,32,98,Melbourne ,1956,Australia,Former USSR,199103.0,5684.0,Australia,0
Squaw Valley 1960,0.0,Soviet Union,7,5,9,21,Squaw Valley ,1960,United States,Former USSR,213780.0,6288.0,United States,0
Rome 1960,1.0,Soviet Union,43,29,31,103,Rome ,1960,Italy,Former USSR,213780.0,6288.0,Italy,0
Innsbruck 1964,0.0,Soviet Union,11,8,6,25,Innsbruck ,1964,Austria,Former USSR,227698.0,7076.0,Austria,0
Tokyo 1964,1.0,Soviet Union,30,31,35,96,Tokyo ,1964,Japan,Former USSR,227698.0,7076.0,Japan,0
Mexico City 1968,1.0,Soviet Union,29,32,30,91,Mexico City ,1968,Mexico,Former USSR,237983.0,8292.0,Mexico,0
Grenoble 1968,0.0,Soviet Union,5,5,3,13,Grenoble ,1968,France,Former USSR,237983.0,8292.0,France,0
Sapporo 1972,0.0,Soviet Union,8,5,3,16,Sapporo ,1972,Japan,Former USSR,247343.0,8995.0,Japan,0
Munich 1972,1.0,Soviet Union,50,27,22,99,Munich ,1972,Germany,Former USSR,247343.0,8995.0,Germany,0
Montreal 1976,1.0,Soviet Union,49,41,35,125,Montreal ,1976,Canada,Former USSR,256883.0,10143.0,Canada,0
Innsbruck 1976,0.0,Soviet Union,13,6,8,27,Innsbruck ,1976,Austria,Former USSR,256883.0,10143.0,Austria,0
Moscow 1980,1.0,Soviet Union,80,69,46,195,Moscow ,1980,Russia,Former USSR,265926.0,10245.0,Russian Federation,0
Lake Placid 1980,0.0,Soviet Union,10,6,6,22,Lake Placid ,1980,United States,Former USSR,265926.0,10245.0,United States,0
Sarajevo 1984,0.0,Soviet Union,6,10,9,25,Sarajevo ,1984,Bosnia and Herzegovina,Former USSR,275330.0,10694.0,Former Yugoslavia,0
Seoul 1988,1.0,Soviet Union,55,31,46,132,Seoul ,1988,South Korea,Former USSR,285020.0,11226.0,Republic of Korea,0
Calgary 1988,0.0,Soviet Union,11,9,9,29,Calgary ,1988,Canada,Former USSR,285020.0,11226.0,Canada,0
Helsinki 1952,1.0,Lebanon,0,1,1,2,Helsinki ,1952,Finland,Lebanon,1440.0,5327.0,Finland,0
Munich 1972,1.0,Lebanon,0,1,0,1,Munich ,1972,Germany,Lebanon,2680.0,8228.0,Germany,0
Moscow 1980,1.0,Lebanon,0,0,1,1,Moscow ,1980,Russia,Lebanon,3087.0,4608.0,Russian Federation,0
Helsinki 1952,1.0,Bulgaria,0,0,1,1,Helsinki ,1952,Finland,Bulgaria,7275.0,3017.0,Finland,0
Melbourne 1956,1.0,Bulgaria,1,3,1,5,Melbourne ,1956,Australia,Bulgaria,7576.0,3392.0,Australia,0
Rome 1960,1.0,Bulgaria,1,3,3,7,Rome ,1960,Italy,Bulgaria,7867.0,4642.0,Italy,0
Tokyo 1964,1.0,Bulgaria,3,5,2,10,Tokyo ,1964,Japan,Bulgaria,8144.0,5829.0,Japan,0
Mexico City 1968,1.0,Bulgaria,2,4,3,9,Mexico City ,1968,Mexico,Bulgaria,8370.0,6963.0,Mexico,0
Munich 1972,1.0,Bulgaria,6,10,5,21,Munich ,1972,Germany,Bulgaria,8576.0,8145.0,Germany,0
Montreal 1976,1.0,Bulgaria,6,9,7,22,Montreal ,1976,Canada,Bulgaria,8755.0,9535.0,Canada,0
Moscow 1980,1.0,Bulgaria,8,16,17,41,Moscow ,1980,Russia,Bulgaria,8844.0,9634.0,Russian Federation,0
Lake Placid 1980,0.0,Bulgaria,0,0,1,1,Lake Placid ,1980,United States,Bulgaria,8844.0,9634.0,United States,0
Seoul 1988,1.0,Bulgaria,10,12,13,35,Seoul ,1988,South Korea,Bulgaria,8982.0,10098.0,Republic of Korea,0
Barcelona 1992,1.0,Bulgaria,3,7,6,16,Barcelona ,1992,Spain,Bulgaria,8712.0,7846.12,Spain,0
Atlanta 1996,1.0,Bulgaria,3,7,5,15,Atlanta ,1996,United States,Bulgaria,8531.0,7901.12,United States,0
Nagano 1998,0.0,Bulgaria,1,0,0,1,Nagano ,1998,Japan,Bulgaria,8423.0,8322.08,Japan,0
Sydney 2000,1.0,Bulgaria,5,6,2,13,Sydney ,2000,Australia,Bulgaria,8335.0,8410.8,Australia,0
Salt Lake City 2002,0.0,Bulgaria,0,1,2,3,Salt Lake City ,2002,United States,Bulgaria,7995.0,9471.77,United States,0
Athens 2004,1.0,Bulgaria,2,1,9,12,Athens ,2004,Greece,Bulgaria,7872.0,10853.79,Greece,0
Beijing 2008,1.0,Bulgaria,1,1,3,5,Beijing ,2008,China,Bulgaria,7644.0,14761.71,China,0
London 2012,1.0,Bulgaria,0,2,1,3,London ,2012,United Kingdom,Bulgaria,7453.0,15204.0,United Kingdom,0
Rio 2016,1.0,Bulgaria,0,1,2,3,Rio ,2016,Brazil,Bulgaria,7272.0,17037.0,Brazil,0
Tokyo 2020,1.0,Bulgaria,3,1,2,6,Tokyo ,2020,Japan,Bulgaria,,,Japan,0
Helsinki 1952,1.0,Venezuela,0,0,1,1,Helsinki ,1952,Finland,Venezuela (Bolivarian Republic of),5440.0,9309.0,Finland,0
Rome 1960,1.0,Venezuela,0,0,1,1,Rome ,1960,Italy,Venezuela (Bolivarian Republic of),7556.0,12116.0,Italy,0
Mexico City 1968,1.0,Venezuela,1,0,0,1,Mexico City ,1968,Mexico,Venezuela (Bolivarian Republic of),10041.0,14520.0,Mexico,0
Montreal 1976,1.0,Venezuela,0,1,0,1,Montreal ,1976,Canada,Venezuela (Bolivarian Republic of),13082.0,17174.0,Canada,0
Moscow 1980,1.0,Venezuela,0,1,0,1,Moscow ,1980,Russia,Venezuela (Bolivarian Republic of),14768.0,16270.0,Russian Federation,0
Los Angeles 1984,1.0,Venezuela,0,0,3,3,Los Angeles ,1984,United States,Venezuela (Bolivarian Republic of),16545.0,13597.0,United States,0
Athens 2004,1.0,Venezuela,0,0,2,2,Athens ,2004,Greece,Venezuela (Bolivarian Republic of),25287.0,13713.05,Greece,0
Beijing 2008,1.0,Venezuela,0,0,1,1,Beijing ,2008,China,Venezuela (Bolivarian Republic of),27139.0,18019.09,China,0
London 2012,1.0,Venezuela,1,0,0,1,London ,2012,United Kingdom,Venezuela (Bolivarian Republic of),28760.0,18549.0,United Kingdom,0
Rio 2016,1.0,Venezuela,0,2,1,3,Rio ,2016,Brazil,Venezuela (Bolivarian Republic of),29994.0,15219.0,Brazil,0
Tokyo 2020,1.0,Venezuela,1,3,0,4,Tokyo ,2020,Japan,Venezuela (Bolivarian Republic of),,,Japan,0
Melbourne 1956,1.0,Iceland,0,1,0,1,Melbourne ,1956,Australia,Iceland,161.0,10323.0,Australia,0
Los Angeles 1984,1.0,Iceland,0,0,1,1,Los Angeles ,1984,United States,Iceland,239.0,25357.0,United States,0
Sydney 2000,1.0,Iceland,0,0,1,1,Sydney ,2000,Australia,Iceland,281.0,33108.29,Australia,0
Beijing 2008,1.0,Iceland,0,1,0,1,Beijing ,2008,China,Iceland,317.0,40810.23,China,0
Melbourne 1956,1.0,Pakistan,0,1,0,1,Melbourne ,1956,Australia,Pakistan,45536.0,1017.0,Australia,0
Rome 1960,1.0,Pakistan,1,0,1,2,Rome ,1960,Italy,Pakistan,50387.0,1031.0,Italy,0
Tokyo 1964,1.0,Pakistan,0,1,0,1,Tokyo ,1964,Japan,Pakistan,55988.0,1208.0,Japan,0
Mexico City 1968,1.0,Pakistan,1,0,0,1,Mexico City ,1968,Mexico,Pakistan,62282.0,1361.0,Mexico,0
Munich 1972,1.0,Pakistan,0,1,0,1,Munich ,1972,Germany,Pakistan,69326.0,1455.0,Germany,0
Montreal 1976,1.0,Pakistan,0,0,1,1,Montreal ,1976,Canada,Pakistan,76456.0,1604.0,Canada,0
Los Angeles 1984,1.0,Pakistan,1,0,0,1,Los Angeles ,1984,United States,Pakistan,96502.0,2106.0,United States,0
Seoul 1988,1.0,Pakistan,0,0,1,1,Seoul ,1988,South Korea,Pakistan,108408.0,2442.0,Republic of Korea,0
Barcelona 1992,1.0,Pakistan,0,0,1,1,Barcelona ,1992,Spain,Pakistan,119974.0,2732.38,Spain,0
Melbourne 1956,1.0,Bahamas,0,0,1,1,Melbourne ,1956,Australia,,,,Australia,0
Tokyo 1964,1.0,Bahamas,1,0,0,1,Tokyo ,1964,Japan,,,,Japan,0
Barcelona 1992,1.0,Bahamas,0,0,1,1,Barcelona ,1992,Spain,,,,Spain,0
Atlanta 1996,1.0,Bahamas,0,1,0,1,Atlanta ,1996,United States,,,,United States,0
Sydney 2000,1.0,Bahamas,2,0,1,3,Sydney ,2000,Australia,,,,Australia,0
Athens 2004,1.0,Bahamas,1,0,1,2,Athens ,2004,Greece,,,,Greece,0
Beijing 2008,1.0,Bahamas,0,1,1,2,Beijing ,2008,China,,,,China,0
London 2012,1.0,Bahamas,1,0,0,1,London ,2012,United Kingdom,,,,United Kingdom,0
Rio 2016,1.0,Bahamas,1,0,1,2,Rio ,2016,Brazil,,,,Brazil,0
Tokyo 2020,1.0,Bahamas,2,0,0,2,Tokyo ,2020,Japan,,,,Japan,0
Rome 1960,1.0,Ethiopia,1,0,0,1,Rome ,1960,Italy,Ethiopia,24622.0,701.0,Italy,0
Tokyo 1964,1.0,Ethiopia,1,0,0,1,Tokyo ,1964,Japan,Ethiopia,26654.0,840.0,Japan,0
Mexico City 1968,1.0,Ethiopia,1,1,0,2,Mexico City ,1968,Mexico,Ethiopia,28943.0,902.0,Mexico,0
Munich 1972,1.0,Ethiopia,0,0,2,2,Munich ,1972,Germany,Ethiopia,31543.0,995.0,Germany,0
Moscow 1980,1.0,Ethiopia,2,0,2,4,Moscow ,1980,Russia,Ethiopia,36866.0,1033.0,Russian Federation,0
Barcelona 1992,1.0,Ethiopia,1,0,2,3,Barcelona ,1992,Spain,Ethiopia,52875.0,708.37,Spain,0
Atlanta 1996,1.0,Ethiopia,2,0,1,3,Atlanta ,1996,United States,Ethiopia,58915.0,782.99,United States,0
Sydney 2000,1.0,Ethiopia,4,1,3,8,Sydney ,2000,Australia,Ethiopia,65213.0,771.73,Australia,0
Athens 2004,1.0,Ethiopia,2,3,2,7,Athens ,2004,Greece,Ethiopia,72389.0,771.47,Greece,0
Beijing 2008,1.0,Ethiopia,4,2,1,7,Beijing ,2008,China,Ethiopia,80564.0,989.98,China,0
London 2012,1.0,Ethiopia,3,2,2,7,London ,2012,United Kingdom,Ethiopia,90066.0,1287.0,United Kingdom,0
Rio 2016,1.0,Ethiopia,1,2,5,8,Rio ,2016,Brazil,Ethiopia,100859.0,1635.0,Brazil,0
Tokyo 2020,1.0,Ethiopia,1,1,2,4,Tokyo ,2020,Japan,Ethiopia,,,Japan,0
Rome 1960,1.0,United Arab Republic,0,1,1,2,Rome ,1960,Italy,,,,Italy,0
Rome 1960,1.0,Ghana,0,1,0,1,Rome ,1960,Italy,Ghana,6958.0,2197.0,Italy,0
Tokyo 1964,1.0,Ghana,0,0,1,1,Tokyo ,1964,Japan,Ghana,7782.0,2254.0,Japan,0
Munich 1972,1.0,Ghana,0,0,1,1,Munich ,1972,Germany,Ghana,9354.0,2235.0,Germany,0
Barcelona 1992,1.0,Ghana,0,0,1,1,Barcelona ,1992,Spain,Ghana,16092.0,1771.6,Spain,0
Tokyo 2020,1.0,Ghana,0,0,1,1,Tokyo ,2020,Japan,Ghana,,,Japan,0
Rome 1960,1.0,Morocco,0,1,0,1,Rome ,1960,Italy,Morocco,12423.0,2118.0,Italy,0
Los Angeles 1984,1.0,Morocco,2,0,0,2,Los Angeles ,1984,United States,Morocco,21316.0,3657.0,United States,0
Seoul 1988,1.0,Morocco,1,0,2,3,Seoul ,1988,South Korea,Morocco,23600.0,4077.0,Republic of Korea,0
Barcelona 1992,1.0,Morocco,1,1,1,3,Barcelona ,1992,Spain,Morocco,25659.0,4194.45,Spain,0
Atlanta 1996,1.0,Morocco,0,0,2,2,Atlanta ,1996,United States,Morocco,27339.0,4603.65,United States,0
Sydney 2000,1.0,Morocco,0,1,4,5,Sydney ,2000,Australia,Morocco,28675.0,4753.64,Australia,0
Athens 2004,1.0,Morocco,2,1,0,3,Athens ,2004,Greece,Morocco,30042.0,5584.15,Greece,0
Beijing 2008,1.0,Morocco,0,1,1,2,Beijing ,2008,China,Morocco,31622.0,6530.98,China,0
London 2012,1.0,Morocco,0,0,1,1,London ,2012,United Kingdom,Morocco,33217.0,7365.0,United Kingdom,0
Rio 2016,1.0,Morocco,0,0,1,1,Rio ,2016,Brazil,Morocco,34760.0,8039.0,Brazil,0
Tokyo 2020,1.0,Morocco,1,0,0,1,Tokyo ,2020,Japan,Morocco,,,Japan,0
Rome 1960,1.0,Chinese Taipei,0,1,0,1,Rome ,1960,Italy,Taiwan Province of China,10861.0,2157.0,Italy,0
Mexico City 1968,1.0,Chinese Taipei,0,0,1,1,Mexico City ,1968,Mexico,Taiwan Province of China,13918.0,3484.0,Mexico,0
Los Angeles 1984,1.0,Chinese Taipei,0,0,1,1,Los Angeles ,1984,United States,Taiwan Province of China,18918.0,10394.0,United States,0
Barcelona 1992,1.0,Chinese Taipei,0,1,0,1,Barcelona ,1992,Spain,Taiwan Province of China,20569.0,18101.33,Spain,0
Atlanta 1996,1.0,Chinese Taipei,0,1,0,1,Atlanta ,1996,United States,Taiwan Province of China,21283.0,22390.05,United States,0
Sydney 2000,1.0,Chinese Taipei,0,1,4,5,Sydney ,2000,Australia,Taiwan Province of China,22027.0,26787.45,Australia,0
Athens 2004,1.0,Chinese Taipei,2,2,1,5,Athens ,2004,Greece,Taiwan Province of China,22434.0,29975.14,Greece,0
Beijing 2008,1.0,Chinese Taipei,1,1,2,4,Beijing ,2008,China,Taiwan Province of China,22778.0,34762.37,China,0
London 2012,1.0,Chinese Taipei,1,0,1,2,London ,2012,United Kingdom,Taiwan Province of China,23054.0,39207.0,United Kingdom,0
Rio 2016,1.0,Chinese Taipei,1,0,2,3,Rio ,2016,Brazil,Taiwan Province of China,23276.0,42165.0,Brazil,0
Tokyo 2020,1.0,Chinese Taipei,2,4,6,12,Tokyo ,2020,Japan,Taiwan Province of China,,,Japan,0
Rome 1960,1.0,Singapore,0,1,0,1,Rome ,1960,Italy,Singapore,1646.0,3464.0,Italy,0
Beijing 2008,1.0,Singapore,0,1,0,1,Beijing ,2008,China,Singapore,4931.0,52180.17,China,0
London 2012,1.0,Singapore,0,0,2,2,London ,2012,United Kingdom,Singapore,5353.0,62783.0,United Kingdom,0
Rio 2016,1.0,Singapore,1,0,0,1,Rio ,2016,Brazil,Singapore,5782.0,65729.0,Brazil,0
Rome 1960,1.0,West Indies Federation,0,0,2,2,Rome ,1960,Italy,,,,Italy,0
Rome 1960,1.0,Iraq,0,0,1,1,Rome ,1960,Italy,Iraq,6822.0,4360.0,Italy,0
Innsbruck 1964,0.0,Democratic People's Republic of Korea,0,1,0,1,Innsbruck ,1964,Austria,D.P.R. of Korea,11615.0,2459.2387234042553,Austria,0
Munich 1972,1.0,Democratic People's Republic of Korea,1,1,3,5,Munich ,1972,Germany,D.P.R. of Korea,14956.0,2458.1868085106385,Germany,0
Montreal 1976,1.0,Democratic People's Republic of Korea,1,1,0,2,Montreal ,1976,Canada,D.P.R. of Korea,16294.0,2457.66085106383,Canada,0
Moscow 1980,1.0,Democratic People's Republic of Korea,0,3,2,5,Moscow ,1980,Russia,D.P.R. of Korea,17390.0,2457.1348936170216,Russian Federation,0
Albertville 1992,0.0,Democratic People's Republic of Korea,0,0,1,1,Albertville ,1992,France,D.P.R. of Korea,21182.0,2120.55,France,0
Barcelona 1992,1.0,Democratic People's Republic of Korea,4,0,5,9,Barcelona ,1992,Spain,D.P.R. of Korea,21182.0,2120.55,Spain,0
Atlanta 1996,1.0,Democratic People's Republic of Korea,2,1,2,5,Atlanta ,1996,United States,D.P.R. of Korea,22324.0,1733.1,United States,0
Sydney 2000,1.0,Democratic People's Republic of Korea,0,1,3,4,Sydney ,2000,Australia,D.P.R. of Korea,22785.0,1657.14,Australia,0
Athens 2004,1.0,Democratic People's Republic of Korea,0,4,1,5,Athens ,2004,Greece,D.P.R. of Korea,23477.0,1753.69,Greece,0
Beijing 2008,1.0,Democratic People's Republic of Korea,2,2,2,6,Beijing ,2008,China,D.P.R. of Korea,24051.0,1794.66,China,0
London 2012,1.0,Democratic People's Republic of Korea,4,0,2,6,London ,2012,United Kingdom,D.P.R. of Korea,24589.0,1770.92,United Kingdom,0
Rio 2016,1.0,Democratic People's Republic of Korea,2,3,2,7,Rio ,2016,Brazil,D.P.R. of Korea,25115.0,1742.02,Brazil,0
Tokyo 1964,1.0,Tunisia,0,1,1,2,Tokyo ,1964,Japan,Tunisia,4468.0,2533.0,Japan,0
Mexico City 1968,1.0,Tunisia,1,0,1,2,Mexico City ,1968,Mexico,Tunisia,4894.0,2766.0,Mexico,0
Munich 1972,1.0,Tunisia,0,1,0,1,Munich ,1972,Germany,Tunisia,5304.0,3645.0,Germany,0
Atlanta 1996,1.0,Tunisia,0,0,1,1,Atlanta ,1996,United States,Tunisia,9092.0,6388.39,United States,0
Beijing 2008,1.0,Tunisia,1,0,0,1,Beijing ,2008,China,Tunisia,10274.0,10294.92,China,0
London 2012,1.0,Tunisia,2,0,1,3,London ,2012,United Kingdom,Tunisia,10737.0,10739.0,United Kingdom,0
Rio 2016,1.0,Tunisia,0,0,3,3,Rio ,2016,Brazil,Tunisia,11248.0,11073.0,Brazil,0
Tokyo 2020,1.0,Tunisia,1,1,0,2,Tokyo ,2020,Japan,Tunisia,,,Japan,0
Tokyo 1964,1.0,Kenya,0,0,1,1,Tokyo ,1964,Japan,Kenya,9248.0,1208.0,Japan,0
Mexico City 1968,1.0,Kenya,3,4,2,9,Mexico City ,1968,Mexico,Kenya,10532.0,1366.0,Mexico,0
Munich 1972,1.0,Kenya,2,3,4,9,Munich ,1972,Germany,Kenya,12045.0,1524.0,Germany,0
Los Angeles 1984,1.0,Kenya,1,0,2,3,Los Angeles ,1984,United States,Kenya,19050.0,1594.0,United States,0
Seoul 1988,1.0,Kenya,5,2,2,9,Seoul ,1988,South Korea,Kenya,21916.0,1741.0,Republic of Korea,0
Barcelona 1992,1.0,Kenya,2,4,2,8,Barcelona ,1992,Spain,Kenya,24986.0,1724.87,Spain,0
Atlanta 1996,1.0,Kenya,1,4,3,8,Atlanta ,1996,United States,Kenya,27813.0,1851.28,United States,0
Sydney 2000,1.0,Kenya,2,3,2,7,Sydney ,2000,Australia,Kenya,31025.0,1914.89,Australia,0
Athens 2004,1.0,Kenya,1,4,2,7,Athens ,2004,Greece,Kenya,34880.0,2066.21,Greece,0
Beijing 2008,1.0,Kenya,6,4,6,16,Beijing ,2008,China,Kenya,39442.0,2357.23,China,0
London 2012,1.0,Kenya,2,4,6,12,London ,2012,United Kingdom,Kenya,44477.0,2765.0,United Kingdom,0
Rio 2016,1.0,Kenya,6,6,1,13,Rio ,2016,Brazil,Kenya,49108.0,3169.0,Brazil,0
Tokyo 2020,1.0,Kenya,4,4,2,10,Tokyo ,2020,Japan,Kenya,,,Japan,0
Tokyo 1964,1.0,Nigeria,0,0,1,1,Tokyo ,1964,Japan,Nigeria,46675.0,1451.0,Japan,0
Munich 1972,1.0,Nigeria,0,0,1,1,Munich ,1972,Germany,Nigeria,58941.0,1908.0,Germany,0
Los Angeles 1984,1.0,Nigeria,0,1,1,2,Los Angeles ,1984,United States,Nigeria,82724.0,1527.0,United States,0
Barcelona 1992,1.0,Nigeria,0,3,1,4,Barcelona ,1992,Spain,Nigeria,101378.0,1793.94,Spain,0
Atlanta 1996,1.0,Nigeria,2,1,3,6,Atlanta ,1996,United States,Nigeria,112235.0,1924.09,United States,0
Sydney 2000,1.0,Nigeria,1,2,0,3,Sydney ,2000,Australia,Nigeria,125014.0,2144.83,Australia,0
Athens 2004,1.0,Nigeria,0,0,2,2,Athens ,2004,Greece,Nigeria,139902.0,3136.63,Greece,0
Beijing 2008,1.0,Nigeria,0,2,3,5,Beijing ,2008,China,Nigeria,156443.0,4084.2,China,0
Rio 2016,1.0,Nigeria,0,0,1,1,Rio ,2016,Brazil,Nigeria,192625.0,5360.0,Brazil,0
Tokyo 2020,1.0,Nigeria,0,1,1,2,Tokyo ,2020,Japan,Nigeria,,,Japan,0
Mexico City 1968,1.0,German Democratic Republic (Germany),9,9,7,25,Mexico City ,1968,Mexico,Germany,76584.0,15723.0,Mexico,0
Grenoble 1968,0.0,German Democratic Republic (Germany),1,2,2,5,Grenoble ,1968,France,Germany,76584.0,15723.0,France,0
Sapporo 1972,0.0,German Democratic Republic (Germany),4,3,7,14,Sapporo ,1972,Japan,Germany,78717.0,18301.0,Japan,0
Munich 1972,1.0,German Democratic Republic (Germany),20,23,23,66,Munich ,1972,Germany,Germany,78717.0,18301.0,Germany,1
Montreal 1976,1.0,German Democratic Republic (Germany),40,25,25,90,Montreal ,1976,Canada,Germany,78299.0,20218.0,Canada,0
Innsbruck 1976,0.0,German Democratic Republic (Germany),7,5,7,19,Innsbruck ,1976,Austria,Germany,78299.0,20218.0,Austria,0
Moscow 1980,1.0,German Democratic Republic (Germany),47,37,42,126,Moscow ,1980,Russia,Germany,78298.0,22497.0,Russian Federation,0
Lake Placid 1980,0.0,German Democratic Republic (Germany),9,7,7,23,Lake Placid ,1980,United States,Germany,78298.0,22497.0,United States,0
Sarajevo 1984,0.0,German Democratic Republic (Germany),9,9,6,24,Sarajevo ,1984,Bosnia and Herzegovina,Germany,77855.0,23564.0,Former Yugoslavia,0
Seoul 1988,1.0,German Democratic Republic (Germany),37,35,30,102,Seoul ,1988,South Korea,Germany,78031.0,25759.0,Republic of Korea,0
Calgary 1988,0.0,German Democratic Republic (Germany),9,10,6,25,Calgary ,1988,Canada,Germany,78031.0,25759.0,Canada,0
Mexico City 1968,1.0,Federal Republic of Germany,5,11,10,26,Mexico City ,1968,Mexico,Germany,76584.0,15723.0,Mexico,0
Grenoble 1968,0.0,Federal Republic of Germany,2,2,3,7,Grenoble ,1968,France,Germany,76584.0,15723.0,France,0
Sapporo 1972,0.0,Federal Republic of Germany,3,1,1,5,Sapporo ,1972,Japan,Germany,78717.0,18301.0,Japan,0
Munich 1972,1.0,Federal Republic of Germany,13,11,16,40,Munich ,1972,Germany,Germany,78717.0,18301.0,Germany,1
Montreal 1976,1.0,Federal Republic of Germany,10,12,17,39,Montreal ,1976,Canada,Germany,78299.0,20218.0,Canada,0
Innsbruck 1976,0.0,Federal Republic of Germany,2,5,3,10,Innsbruck ,1976,Austria,Germany,78299.0,20218.0,Austria,0
Lake Placid 1980,0.0,Federal Republic of Germany,0,2,3,5,Lake Placid ,1980,United States,Germany,78298.0,22497.0,United States,0
Sarajevo 1984,0.0,Federal Republic of Germany,2,1,1,4,Sarajevo ,1984,Bosnia and Herzegovina,Germany,77855.0,23564.0,Former Yugoslavia,0
Los Angeles 1984,1.0,Federal Republic of Germany,17,19,23,59,Los Angeles ,1984,United States,Germany,77855.0,23564.0,United States,0
Seoul 1988,1.0,Federal Republic of Germany,11,14,15,40,Seoul ,1988,South Korea,Germany,78031.0,25759.0,Republic of Korea,0
Calgary 1988,0.0,Federal Republic of Germany,2,4,2,8,Calgary ,1988,Canada,Germany,78031.0,25759.0,Canada,0
Mexico City 1968,1.0,Mongolia,0,1,3,4,Mexico City ,1968,Mexico,Mongolia,1181.0,1154.0,Mexico,0
Munich 1972,1.0,Mongolia,0,1,0,1,Munich ,1972,Germany,Mongolia,1321.0,1256.0,Germany,0
Montreal 1976,1.0,Mongolia,0,1,0,1,Montreal ,1976,Canada,Mongolia,1487.0,1401.0,Canada,0
Moscow 1980,1.0,Mongolia,0,2,2,4,Moscow ,1980,Russia,Mongolia,1655.0,1618.0,Russian Federation,0
Seoul 1988,1.0,Mongolia,0,0,1,1,Seoul ,1988,South Korea,Mongolia,1992.0,2227.0,Republic of Korea,0
Barcelona 1992,1.0,Mongolia,0,0,2,2,Barcelona ,1992,Spain,Mongolia,2210.0,1841.01,Spain,0
Atlanta 1996,1.0,Mongolia,0,0,1,1,Atlanta ,1996,United States,Mongolia,2341.0,2271.8,United States,0
Athens 2004,1.0,Mongolia,0,0,1,1,Athens ,2004,Greece,Mongolia,2574.0,4334.23,Greece,0
Beijing 2008,1.0,Mongolia,2,2,0,4,Beijing ,2008,China,Mongolia,2702.0,6982.15,China,0
London 2012,1.0,Mongolia,0,2,3,5,London ,2012,United Kingdom,Mongolia,2870.0,10493.0,United Kingdom,0
Rio 2016,1.0,Mongolia,0,1,1,2,Rio ,2016,Brazil,Mongolia,3031.0,12360.0,Brazil,0
Tokyo 2020,1.0,Mongolia,0,1,3,4,Tokyo ,2020,Japan,Mongolia,,,Japan,0
Mexico City 1968,1.0,Uganda,0,1,1,2,Mexico City ,1968,Mexico,Uganda,9170.0,1304.0,Mexico,0
Munich 1972,1.0,Uganda,1,1,0,2,Munich ,1972,Germany,Uganda,10224.0,1364.0,Germany,0
Moscow 1980,1.0,Uganda,0,1,0,1,Moscow ,1980,Russia,Uganda,12415.0,912.0,Russian Federation,0
Atlanta 1996,1.0,Uganda,0,0,1,1,Atlanta ,1996,United States,Uganda,21270.0,1091.53,United States,0
London 2012,1.0,Uganda,1,0,0,1,London ,2012,United Kingdom,Uganda,34234.0,1877.0,United Kingdom,0
Tokyo 2020,1.0,Uganda,2,1,1,4,Tokyo ,2020,Japan,Uganda,,,Japan,0
Mexico City 1968,1.0,Cameroon,0,1,0,1,Mexico City ,1968,Mexico,Cameroon,6460.0,1508.0,Mexico,0
Los Angeles 1984,1.0,Cameroon,0,0,1,1,Los Angeles ,1984,United States,Cameroon,9867.0,2450.0,United States,0
Sydney 2000,1.0,Cameroon,1,0,0,1,Sydney ,2000,Australia,Cameroon,15914.0,1961.09,Australia,0
Athens 2004,1.0,Cameroon,1,0,0,1,Athens ,2004,Greece,Cameroon,17764.0,2198.24,Greece,0
